pages/AdminReminders.tsx(72,64): error TS2554: Expected 1 arguments, but got 3.
pages/DatabaseMonitor.tsx(94,14): error TS2339: Property 'updateAIKeys' does not exist on type 'DB'.
pages/DatabaseMonitor.tsx(307,78): error TS2872: This kind of expression is always truthy.
pages/EmailConfig.tsx(25,37): error TS2345: Argument of type '{ commConfig: any; }' is not assignable to parameter of type 'SystemSettings'.
  Type '{ commConfig: any; }' is missing the following properties from type 'SystemSettings': branding, profile, support, digitalPresence, and 26 more.
pages/NOCDashboard.tsx(41,16): error TS2339: Property 'addSecurityLog' does not exist on type 'DB'.
pages/RecoveryDashboard.tsx(194,112): error TS2339: Property 'periodCollection' does not exist on type '{ todayCollection: number; totalRecovery: number; activationRevenue: number; }'.
pages/RecoveryDashboard.tsx(195,85): error TS2339: Property 'totalUnpaidBalance' does not exist on type '{ todayCollection: number; totalRecovery: number; activationRevenue: number; }'.
pages/UserAppManagement.tsx(72,16): error TS2339: Property 'updateAppSection' does not exist on type 'DB'.
prev_db.ts(12,3): error TS2305: Module '"./types"' has no exported member 'Device'.
prev_db.ts(74,7): error TS2741: Property 'simulationMode' is missing in type '{ emailMode: "CUSTOM_SMTP"; emailProvider: "SMTP"; providerConfig: { apiKey: string; senderDomain: string; }; smtpConfig: { host: string; port: number; encryption: "TLS"; username: string; }; senderIdentities: ({ ...; } | { ...; })[]; ... 4 more ...; health: { ...; }; }' but required in type 'CommunicationSettings'.
prev_db.ts(194,5): error TS2741: Property 'customNotes' is missing in type '{ logoPreference: "primary"; headerText: string; footerDisclaimer: string; authorizedSignature: string; prefix: string; nextNumber: number; terms: string; privacy: string; refundPolicyUrl: string; }' but required in type 'InvoiceBranding'.
prev_db.ts(196,5): error TS2741: Property 'show5GLaunchAnimation' is missing in type '{ showWallet: true; showEmergencyLoad: true; showAIChat: true; showAICalling: true; showNews: true; showQuickActions: true; maintenanceMode: false; appPages: AppPage[]; homeCards: undefined[]; sections: AppSection[]; }' but required in type 'AppearanceConfig'.
prev_db.ts(686,11): error TS2741: Property 'dueAmount' is missing in type '{ id: string; userId: string; userName: string; packageId: string; packageName: string; items: LineItem[]; subtotal: number; taxRate: number; taxAmount: number; discountAmount: number; ... 4 more ...; createdAt: string; }' but required in type 'Invoice'.
prev_db.ts(987,40): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(988,67): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(988,133): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(988,164): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(989,47): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(989,68): error TS2339: Property 'devices' does not exist on type 'AppState'.
temp_db.ts(12,3): error TS2305: Module '"./types"' has no exported member 'Device'.
temp_db.ts(76,7): error TS2741: Property 'simulationMode' is missing in type '{ emailMode: "CUSTOM_SMTP"; emailProvider: "SMTP"; providerConfig: { apiKey: string; senderDomain: string; }; smtpConfig: { host: string; port: number; encryption: "TLS"; username: string; }; senderIdentities: { ...; }[]; ... 4 more ...; health: { ...; }; }' but required in type 'CommunicationSettings'.
temp_db.ts(147,5): error TS2741: Property 'customNotes' is missing in type '{ logoPreference: "primary"; headerText: string; footerDisclaimer: string; authorizedSignature: string; prefix: string; nextNumber: number; terms: string; privacy: string; refundPolicyUrl: string; }' but required in type 'InvoiceBranding'.
temp_db.ts(149,5): error TS2741: Property 'show5GLaunchAnimation' is missing in type '{ showWallet: true; showEmergencyLoad: true; showAIChat: true; showAICalling: true; showNews: true; showQuickActions: true; maintenanceMode: false; appPages: AppPage[]; homeCards: undefined[]; sections: AppSection[]; }' but required in type 'AppearanceConfig'.
temp_db.ts(615,11): error TS2741: Property 'dueAmount' is missing in type '{ id: string; userId: string; userName: string; packageId: string; packageName: string; items: LineItem[]; subtotal: number; taxRate: number; taxAmount: number; discountAmount: number; ... 4 more ...; createdAt: string; }' but required in type 'Invoice'.
utils/vapi.ts(2,18): error TS2307: Cannot find module '@vapi-ai/web' or its corresponding type declarations.
utils/vapi.ts(4,35): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
