components/subscriber/SubscriberInvoiceViewer.tsx(8,4): error TS2300: Duplicate identifier 'Wifi'.
components/subscriber/SubscriberInvoiceViewer.tsx(9,26): error TS2300: Duplicate identifier 'Wifi'.
db.ts(1461,9): error TS2393: Duplicate function implementation.
db.ts(1828,9): error TS2393: Duplicate function implementation.
db.ts(2836,9): error TS2393: Duplicate function implementation.
db.ts(2837,9): error TS2393: Duplicate function implementation.
db.ts(2985,9): error TS2393: Duplicate function implementation.
db.ts(3971,9): error TS2393: Duplicate function implementation.
db.ts(4572,9): error TS2393: Duplicate function implementation.
db.ts(4578,13): error TS2741: Property 'referralCode' is missing in type '{ id: string; name: any; email: any; phone: any; cnic: any; username: any; password: any; status: UserStatus.ACTIVE; role: any; portalEnabled: true; activityLog: undefined[]; createdAt: string; balance: number; ... 7 more ...; connectionId: string; }' but required in type 'ISPUser'.
db.ts(4587,20): error TS2339: Property 'USER' does not exist on type 'typeof Role'.
db.ts(4610,9): error TS2393: Duplicate function implementation.
db.ts(4622,9): error TS2393: Duplicate function implementation.
db.ts(4633,9): error TS2393: Duplicate function implementation.
prev_db.ts(12,3): error TS2305: Module '"./types"' has no exported member 'Device'.
prev_db.ts(74,7): error TS2741: Property 'simulationMode' is missing in type '{ emailMode: "CUSTOM_SMTP"; emailProvider: "SMTP"; providerConfig: { apiKey: string; senderDomain: string; }; smtpConfig: { host: string; port: number; encryption: "TLS"; username: string; }; senderIdentities: ({ ...; } | { ...; })[]; ... 4 more ...; health: { ...; }; }' but required in type 'CommunicationSettings'.
prev_db.ts(194,5): error TS2741: Property 'customNotes' is missing in type '{ logoPreference: "primary"; headerText: string; footerDisclaimer: string; authorizedSignature: string; prefix: string; nextNumber: number; terms: string; privacy: string; refundPolicyUrl: string; }' but required in type 'InvoiceBranding'.
prev_db.ts(196,5): error TS2741: Property 'show5GLaunchAnimation' is missing in type '{ showWallet: true; showEmergencyLoad: true; showAIChat: true; showAICalling: true; showNews: true; showQuickActions: true; maintenanceMode: false; appPages: AppPage[]; homeCards: undefined[]; sections: AppSection[]; }' but required in type 'AppearanceConfig'.
prev_db.ts(686,11): error TS2741: Property 'dueAmount' is missing in type '{ id: string; userId: string; userName: string; packageId: string; packageName: string; items: LineItem[]; subtotal: number; taxRate: number; taxAmount: number; discountAmount: number; ... 4 more ...; createdAt: string; }' but required in type 'Invoice'.
prev_db.ts(987,40): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(988,67): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(988,133): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(988,164): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(989,47): error TS2339: Property 'devices' does not exist on type 'AppState'.
prev_db.ts(989,68): error TS2339: Property 'devices' does not exist on type 'AppState'.
temp_db.ts(12,3): error TS2305: Module '"./types"' has no exported member 'Device'.
temp_db.ts(76,7): error TS2741: Property 'simulationMode' is missing in type '{ emailMode: "CUSTOM_SMTP"; emailProvider: "SMTP"; providerConfig: { apiKey: string; senderDomain: string; }; smtpConfig: { host: string; port: number; encryption: "TLS"; username: string; }; senderIdentities: { ...; }[]; ... 4 more ...; health: { ...; }; }' but required in type 'CommunicationSettings'.
temp_db.ts(147,5): error TS2741: Property 'customNotes' is missing in type '{ logoPreference: "primary"; headerText: string; footerDisclaimer: string; authorizedSignature: string; prefix: string; nextNumber: number; terms: string; privacy: string; refundPolicyUrl: string; }' but required in type 'InvoiceBranding'.
temp_db.ts(149,5): error TS2741: Property 'show5GLaunchAnimation' is missing in type '{ showWallet: true; showEmergencyLoad: true; showAIChat: true; showAICalling: true; showNews: true; showQuickActions: true; maintenanceMode: false; appPages: AppPage[]; homeCards: undefined[]; sections: AppSection[]; }' but required in type 'AppearanceConfig'.
temp_db.ts(615,11): error TS2741: Property 'dueAmount' is missing in type '{ id: string; userId: string; userName: string; packageId: string; packageName: string; items: LineItem[]; subtotal: number; taxRate: number; taxAmount: number; discountAmount: number; ... 4 more ...; createdAt: string; }' but required in type 'Invoice'.
utils/vapi.ts(2,18): error TS2307: Cannot find module '@vapi-ai/web' or its corresponding type declarations.
utils/vapi.ts(4,35): error TS2339: Property 'env' does not exist on type 'ImportMeta'.
